"institute_id","institute_name","address","establish_year","total_students","contact_email"
1,"Green Valley Institute","123 Elm St, Springfield",1995,1200,"info@gvi.edu"
2,"TechBridge College","456 Oak Ave, Rivertown",2002,850,"contact@techbridge.edu"
3,"Sunrise Academy","789 Maple Rd, Lakeside",1988,950,"admin@sunriseacademy.edu"
4,"Mountainview University","321 Pine Dr, Hilltop",1975,2000,"office@mountainview.edu"
5,"Riverbend Polytechnic","654 Cedar Ln, Riverbend",2010,600,"hello@riverbendpoly.edu"
6,"Delhi Institute of Technology","12 Nehru Marg, Delhi",1998,1800,"info@dit.edu.in"
7,"Bangalore Engineering College","45 MG Road, Bangalore",2005,1200,"contact@bec.edu.in"
8,"Mumbai Science Academy","78 Marine Drive, Mumbai",1992,950,"admin@msa.edu.in"
9,"Chennai Arts University","34 Anna Salai, Chennai",1980,2200,"office@cau.edu.in"
10,"Kolkata Polytechnic","56 Park Street, Kolkata",2012,700,"hello@kolpoly.edu.in"
11,"Pune Management Institute","89 FC Road, Pune",2001,1100,"info@pmi.edu.in"
12,"Hyderabad Medical College","23 Banjara Hills, Hyderabad",1996,1500,"contact@hmc.edu.in"
13,"Ahmedabad Commerce School","67 CG Road, Ahmedabad",1985,900,"admin@acs.edu.in"
14,"Jaipur Law University","101 MI Road, Jaipur",2008,800,"office@jlu.edu.in"
15,"Lucknow Technical Institute","77 Hazratganj, Lucknow",1999,1300,"hello@lti.edu.in"
